,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
seq1463_[chr7:114570207-114570377],22.30891778,0.001064268,0.004805443,6,74,18,12
seq1464_[chr7:117293467-117293637],8.919164056,0.178175527,0.322240058,6,83,18,12
seq1465_[chr7:117450943-117451113],9.382803008,0.153166333,0.289591988,6,73,18,12
seq1466_[chr7:121784370-121784540],2.517204949,0.86653721,0.918605304,6,99,18,12
seq1468_[chr7:121950740-121950910],12.98092808,0.043339812,0.109162467,6,98,18,12
seq1469_[chr7:121957342-121957512],11.97849521,0.062450273,0.146838065,6,97,18,12
seq147_[chr1:218474570-218474740],2.999741441,0.808879282,0.882052561,6,63,18,12
seq1470_[chr7:122078606-122078776],3.382261424,0.759562649,0.849129205,6,80,18,12
seq1471_[chr7:127306202-127306372],10.47262938,0.10610824,0.223607733,6,67,18,12
seq1472_[chr7:128348409-128348579],5.045107954,0.538040853,0.684267611,6,81,18,12
seq1473_[chr7:128348990-128349160],13.00179919,0.043007385,0.108701776,6,81,18,12
seq1474_[chr7:128898668-128898838],4.006001427,0.675864212,0.79212594,6,81,18,12
seq1475_[chr7:129483482-129483652],23.44622993,0.000660005,0.003139922,6,86,18,12
seq1476_[chr7:134464175-134464345],9.916659221,0.12820584,0.253744694,6,96,18,12
seq1477_[chr7:138867353-138867523],9.393040963,0.152650308,0.289026595,6,80,18,12
seq1478_[chr7:139298736-139298906],5.232345678,0.51437709,0.66358381,6,88,18,12
seq1479_[chr7:139412371-139412541],5.042997446,0.538310332,0.684267611,6,82,18,12
seq148_[chr1:218519234-218519404],5.973857178,0.426124994,0.588184966,6,95,18,12
seq1480_[chr7:141130370-141130540],10.35226429,0.110579934,0.230685156,6,84,18,12
seq1481_[chr7:141130676-141130846],3.726986395,0.713565459,0.815992101,6,96,18,12
seq1482_[chr7:142511107-142511277],15.80657552,0.01483068,0.045464824,6,85,18,12
seq1483_[chr7:148036542-148036712],6.849722423,0.33496877,0.499639868,6,98,18,12
seq1484_[chr7:150102312-150102482],61.22476143,2.54E-11,4.07E-10,6,98,18,12
seq1485_[chr7:151167884-151168054],11.58713025,0.071839221,0.163712305,6,80,18,12
seq1486_[chr7:157485929-157486099],13.9521473,0.030175297,0.082663025,6,98,18,12
seq1487_[chr8:1750498-1750668],12.76435686,0.04693439,0.116853473,6,98,18,12
seq1488_[chr8:5023672-5023842],45.94343497,3.04E-08,3.30E-07,6,85,18,12
seq1489_[chr8:7016313-7016483],11.78895085,0.0668461,0.154985213,6,77,18,12
seq149_[chr1:218667999-218668169],7.459636122,0.280421444,0.440213746,6,84,18,12
seq1490_[chr8:10192312-10192482],25.53812638,0.00027135,0.00144865,6,99,18,12
seq1491_[chr8:11499924-11500094],4.106972537,0.662202663,0.783699642,6,90,18,12
seq1492_[chr8:18628041-18628211],6.56384247,0.363070127,0.528823848,6,98,18,12
seq1493_[chr8:32987010-32987180],41.28147855,2.55E-07,2.44E-06,6,83,18,12
seq1494_[chr8:34764748-34764918],5.577741483,0.472110834,0.628180836,6,80,18,12
seq1495_[chr8:35575623-35575793],10.05089857,0.122524871,0.246724274,6,66,18,12
seq1496_[chr8:38326146-38326316],11.69627792,0.069097749,0.158413429,6,92,18,12
seq1497_[chr8:40494010-40494180],3.766132526,0.708289819,0.814365161,6,76,18,12
seq1498_[chr8:40771792-40771962],110.5894149,1.53E-21,5.92E-20,6,76,18,12
seq1499_[chr8:48425115-48425285],48.03925266,1.16E-08,1.32E-07,6,99,18,12
seq15_[chr1:10788800-10788970],33.36982662,8.90E-06,6.62E-05,6,99,18,12
seq150_[chr1:220445754-220445924],30.0950227,3.77E-05,0.000242049,6,88,18,12
seq1500_[chr8:49166608-49166778],21.36324674,0.001578255,0.006792362,6,99,18,12
seq1501_[chr8:50005334-50005504],19.51656258,0.003374615,0.012953855,6,93,18,12
seq1502_[chr8:59967845-59968015],1.616515661,0.951382708,0.968839271,6,89,18,12
seq1503_[chr8:62736151-62736321],38.25867784,1.00E-06,8.82E-06,6,85,18,12
seq1504_[chr8:65281390-65281560],6.72085743,0.347435266,0.513918684,6,99,18,12
seq1505_[chr8:72836323-72836493],5.578675573,0.471999156,0.628180836,6,73,18,12
seq1506_[chr8:73921016-73921186],45.20457771,4.26E-08,4.49E-07,6,98,18,12
seq1507_[chr8:77593271-77593441],81.81198891,1.51E-15,3.56E-14,6,99,18,12
seq1508_[chr8:77611083-77611253],1.15861985,0.978879257,0.985970891,6,78,18,12
seq1509_[chr8:77612513-77612683],5.14703205,0.525098364,0.674020334,6,73,18,12
seq151_[chr1:224352596-224352766],18.73514734,0.004635115,0.016938197,6,75,18,12
seq1510_[chr8:87404038-87404208],11.72130088,0.06848298,0.157818909,6,72,18,12
seq1511_[chr8:93107442-93107612],7.201776137,0.302589636,0.463640895,6,98,18,12
seq1512_[chr8:93107646-93107816],13.58217382,0.034668167,0.092865838,6,82,18,12
seq1513_[chr8:99023457-99023627],25.35209774,0.000293812,0.001543815,6,75,18,12
seq1514_[chr8:103549778-103549948],9.043883159,0.171125113,0.315923286,6,93,18,12
seq1515_[chr8:103918612-103918782],88.81455758,5.34E-17,1.38E-15,6,82,18,12
seq1516_[chr8:104663261-104663431],14.04301223,0.029159366,0.080581486,6,94,18,12
seq1517_[chr8:110151594-110151764],71.682699,1.85E-13,3.54E-12,6,84,18,12
seq1518_[chr8:110274715-110274885],6.765000036,0.343127753,0.508676869,6,87,18,12
seq1519_[chr8:118370238-118370408],3.825941729,0.70021745,0.807434149,6,58,18,12
seq152_[chr1:224686312-224686482],84.73907574,3.74E-16,9.31E-15,6,91,18,12
seq1520_[chr8:120988917-120989087],20.87977665,0.001928118,0.008063588,6,93,18,12
seq1521_[chr8:121060438-121060608],4.010844296,0.675208804,0.791706098,6,83,18,12
seq1522_[chr8:123391295-123391465],11.03548039,0.087286038,0.192651206,6,74,18,12
seq1523_[chr8:123850257-123850427],2.47514895,0.871238461,0.919928719,6,78,18,12
seq1524_[chr8:127436040-127436210],1.558500184,0.95551432,0.971932092,6,77,18,12
seq1525_[chr8:127623598-127623768],35.38058858,3.64E-06,2.95E-05,6,91,18,12
seq1526_[chr8:128822474-128822644],80.36108219,3.01E-15,6.91E-14,6,81,18,12
seq1527_[chr8:128835384-128835554],30.85146549,2.71E-05,0.000178873,6,87,18,12
seq1528_[chr8:128876352-128876522],5.664757899,0.461771269,0.620039647,6,98,18,12
seq1529_[chr8:132986374-132986544],63.24835408,9.82E-12,1.63E-10,6,78,18,12
seq153_[chr1:226297637-226297807],6.575983365,0.361843785,0.528482371,6,26,18,12
seq1530_[chr8:141341975-141342145],8.132195219,0.228577488,0.385327811,6,75,18,12
seq1531_[chr8:142424998-142425168],8.544639552,0.200852718,0.351096877,6,78,18,12
seq1532_[chr8:142444174-142444344],8.599636715,0.197377477,0.348614809,6,50,18,12
seq1533_[chr8:142692021-142692191],145.8226389,5.91E-29,3.84E-27,6,98,18,12
seq1534_[chr8:143386964-143387134],27.87290793,9.93E-05,0.000590389,6,99,18,12
seq1535_[chr8:144120264-144120434],29.29955457,5.34E-05,0.000334007,6,99,18,12
seq1536_[chr8:144905590-144905760],59.32456762,6.17E-11,9.19E-10,6,99,18,12
seq1537_[chr9:6693028-6693198],5.35835886,0.498738472,0.64974543,6,84,18,12
seq1538_[chr9:6777380-6777550],1.163427579,0.97865259,0.985970891,6,88,18,12
seq1539_[chr9:14542265-14542435],15.47629126,0.016858755,0.050519375,6,99,18,12
seq154_[chr1:228110602-228110772],10.20195378,0.11640091,0.238715954,6,74,18,12
seq1540_[chr9:15135282-15135452],15.35499782,0.017668243,0.052531473,6,82,18,12
seq1541_[chr9:15138342-15138512],3.716092648,0.715032291,0.816751967,6,79,18,12
seq1542_[chr9:16768932-16769102],48.14366425,1.11E-08,1.26E-07,6,75,18,12
seq1543_[chr9:17397439-17397609],13.29077506,0.038643902,0.100928781,6,67,18,12
seq1544_[chr9:19127513-19127683],6.890773581,0.331066702,0.495205892,6,99,18,12
seq1545_[chr9:23821751-23821921],12.22549479,0.057123257,0.137343283,6,99,18,12
seq1546_[chr9:26746782-26746952],70.42592761,3.34E-13,6.23E-12,6,71,18,12
seq1547_[chr9:32344651-32344821],22.98728145,0.00080075,0.003745172,6,87,18,12
seq1548_[chr9:32345342-32345512],5.143240934,0.525577202,0.67411539,6,56,18,12
seq1549_[chr9:33290353-33290523],225.3152853,7.65E-46,8.86E-44,6,99,18,12
seq155_[chr1:228871123-228871293],21.86515335,0.001280915,0.005649597,6,99,18,12
seq1550_[chr9:34580494-34580664],6.246129659,0.396190968,0.561709813,6,98,18,12
seq1551_[chr9:37251465-37251635],6.224109077,0.398559391,0.563568056,6,84,18,12
seq1552_[chr9:37574501-37574671],8.943614399,0.176774079,0.320821736,6,85,18,12
seq1553_[chr9:37576270-37576440],124.7756106,1.62E-24,7.83E-23,6,99,18,12
seq1554_[chr9:38227187-38227357],190.217048,2.29E-38,2.03E-36,6,99,18,12
seq1555_[chr9:43490675-43490845],10.84482013,0.093292497,0.202057896,6,99,18,12
seq1556_[chr9:71487184-71487354],58.26138581,1.01E-10,1.44E-09,6,81,18,12
seq1557_[chr9:71561983-71562153],4.687125633,0.584520757,0.720908934,6,71,18,12
seq1558_[chr9:73033167-73033337],28.46510345,7.68E-05,0.000463831,6,97,18,12
seq1559_[chr9:73035377-73035547],11.43054643,0.075947102,0.172630615,6,97,18,12
seq156_[chr1:229163661-229163831],15.51917274,0.016581167,0.049743502,6,81,18,12
seq1560_[chr9:73169125-73169295],13.0225909,0.042678601,0.108360458,6,98,18,12
seq1561_[chr9:73735656-73735826],7.789561999,0.253929536,0.4129843,6,75,18,12
seq1562_[chr9:73736285-73736455],7.499517323,0.277108353,0.437558449,6,95,18,12
seq1563_[chr9:75295558-75295728],8.829733765,0.183382588,0.329643194,6,75,18,12
seq1564_[chr9:80200303-80200473],6.437000258,0.376056123,0.540852946,6,86,18,12
seq1565_[chr9:81053201-81053371],5.534954079,0.477242137,0.631494641,6,84,18,12
seq1566_[chr9:81054567-81054737],10.09889058,0.120548823,0.244400353,6,98,18,12
seq1567_[chr9:81055206-81055376],43.91824559,7.67E-08,7.86E-07,6,98,18,12
seq1568_[chr9:92290006-92290176],9.795262437,0.133542979,0.262165435,6,99,18,12
seq1569_[chr9:92292937-92293107],19.79738638,0.003008929,0.011749274,6,89,18,12
seq157_[chr1:230736476-230736646],34.65172614,5.03E-06,3.99E-05,6,78,18,12
seq1570_[chr9:94647461-94647631],18.28939227,0.005548257,0.019813079,6,93,18,12
seq1571_[chr9:94649070-94649240],9.457775278,0.149422422,0.28473629,6,77,18,12
seq1572_[chr9:94711220-94711390],12.15168325,0.058669233,0.14030057,6,98,18,12
seq1573_[chr9:94712505-94712675],5.282736902,0.508094524,0.657708363,6,44,18,12
seq1574_[chr9:97370446-97370616],46.59227373,2.26E-08,2.47E-07,6,99,18,12
seq1575_[chr9:97587814-97587984],5.304724554,0.50536515,0.656120787,6,89,18,12
seq1576_[chr9:97893582-97893752],10.29687811,0.1126938,0.233222238,6,98,18,12
seq1577_[chr9:98517200-98517370],82.29866893,1.20E-15,2.85E-14,6,99,18,12
seq1578_[chr9:98534772-98534942],4.069837102,0.667225944,0.784970492,6,98,18,12
seq1579_[chr9:99984233-99984403],37.05625642,1.72E-06,1.47E-05,6,99,18,12
seq158_[chr1:233249268-233249438],60.37569866,3.78E-11,5.71E-10,6,79,18,12
seq1580_[chr9:99984855-99985025],3.218071002,0.781020853,0.865490662,6,99,18,12
seq1581_[chr9:100290832-100291002],3.726085507,0.713686785,0.815992101,6,82,18,12
seq1582_[chr9:101935085-101935255],12.01168451,0.061708644,0.145350866,6,94,18,12
seq1583_[chr9:102908253-102908423],20.52435988,0.002232633,0.009150362,6,97,18,12
seq1584_[chr9:107688871-107689041],22.5757413,0.000951766,0.004349064,6,98,18,12
seq1585_[chr9:107900708-107900878],4.752442591,0.575933476,0.714618901,6,78,18,12
seq1586_[chr9:109219010-109219180],6.988555949,0.321906837,0.485559215,6,84,18,12
seq1587_[chr9:109893550-109893720],12.80407105,0.046254999,0.115511551,6,89,18,12
seq1588_[chr9:110436861-110437031],8.576466239,0.198835395,0.349092018,6,86,18,12
seq1589_[chr9:123638640-123638810],14.7770437,0.02206353,0.064097321,6,69,18,12
seq159_[chr1:233425642-233425812],3.698773576,0.717363019,0.817738589,6,68,18,12
seq1590_[chr9:126122583-126122753],23.73507467,0.000584211,0.002834862,6,98,18,12
seq1591_[chr9:126625508-126625678],7.635333293,0.266055141,0.426200178,6,73,18,12
seq1593_[chr9:129439154-129439324],8.166021019,0.226190817,0.382828676,6,99,18,12
seq1594_[chr9:131155614-131155784],18.57919892,0.004936599,0.017844096,6,99,18,12
seq1595_[chr9:131908271-131908441],8.971741492,0.175173558,0.320289882,6,99,18,12
seq1596_[chr9:131938188-131938358],30.77681384,2.80E-05,0.00018347,6,98,18,12
seq1597_[chr9:131940499-131940669],32.08123733,1.57E-05,0.000110656,6,98,18,12
seq1598_[chr9:132319853-132320023],7.798338238,0.253253034,0.412494667,6,98,18,12
seq1599_[chr9:132725283-132725453],4.080438742,0.665791669,0.784675077,6,77,18,12
seq16_[chr1:10856666-10856836],27.91227589,9.76E-05,0.000583004,6,99,18,12
seq160_[chr1:233430888-233431058],2.953472826,0.814663437,0.884928768,6,97,18,12
seq1600_[chr9:133027923-133028093],30.82609097,2.74E-05,0.00018043,6,97,18,12
seq1601_[chr9:134683073-134683243],17.42025994,0.007856707,0.026561253,6,99,18,12
seq1602_[chr9:135300421-135300591],5.876166174,0.437204179,0.598100101,6,85,18,12
seq1603_[chr9:136344236-136344406],4.066360091,0.667696372,0.784970492,6,98,18,12
seq1604_[chr9:137217924-137218094],28.49060337,7.59E-05,0.000459763,6,60,18,12
seq1605_[chr9:137220398-137220568],5.497557646,0.481751946,0.634711762,6,89,18,12
seq1606_[chr9:138232061-138232231],56.37928481,2.44E-10,3.30E-09,6,90,18,12
seq1607_[chr9:138235866-138236036],4.455839194,0.615237179,0.746353299,6,99,18,12
seq1608_[chr9:139694549-139694719],47.9325578,1.22E-08,1.38E-07,6,97,18,12
seq1609_[chr9:139695644-139695814],25.52240433,0.000273181,0.001452603,6,98,18,12
seq161_[chr1:233431342-233431512],11.34937123,0.078160504,0.17630786,6,99,18,12
seq1610_[chr9:140189912-140190082],10.28187812,0.113272482,0.233222238,6,32,18,12
seq1611_[chr9:140196715-140196885],3.127890653,0.79263256,0.873272597,6,43,18,12
seq1612_[chr9:140265457-140265627],1.744356821,0.941645731,0.963962552,6,99,18,12
seq1614_[chr9:140573808-140573978],10.65428689,0.099667041,0.213138971,6,86,18,12
seq1615_[chrX:37336135-37336305],25.47470835,0.00027881,0.001473712,6,79,18,12
seq1616_[chrX:50337912-50338082],69.70171829,4.71E-13,8.71E-12,6,80,18,12
seq1617_[chrX:71272535-71272705],87.44945334,1.03E-16,2.60E-15,6,94,18,12
seq1618_[chrX:130611512-130611682],35.4984817,3.45E-06,2.83E-05,6,81,18,12
seq1619_[chrX:132588626-132588796],27.1594579,0.000135178,0.000786275,6,86,18,12
seq162_[chr1:235106692-235106862],6.985207802,0.322217342,0.485559215,6,89,18,12
seq1620_[chrX:150070994-150071164],29.15665992,5.68E-05,0.0003545,6,99,18,12
seq1621_[chr1:8078906-8079076],3.306155213,0.769555362,0.857780537,6,87,18,12
seq1622_[chr1:9313158-9313328],9.945503035,0.126965845,0.25222745,6,85,18,12
seq1623_[chr1:9774468-9774638],83.49361035,6.77E-16,1.67E-14,6,86,18,12
seq1624_[chr1:16501505-16501675],33.7493144,7.52E-06,5.72E-05,6,99,18,12
seq1625_[chr1:22535193-22535363],17.87609463,0.006549417,0.023048411,6,99,18,12
seq1626_[chr1:23121339-23121509],12.21987653,0.057239588,0.137498883,6,84,18,12
seq1627_[chr1:23590038-23590208],10.01172712,0.124159033,0.249066012,6,59,18,12
seq1628_[chr1:23697403-23697573],13.91178304,0.030637271,0.083539088,6,93,18,12
seq1629_[chr1:27893800-27893970],18.86470389,0.004398335,0.016296472,6,99,18,12
seq163_[chr1:238540831-238541001],8.715536471,0.190219402,0.339186403,6,46,18,12
seq1630_[chr1:27933864-27934034],247.3646685,1.50E-50,2.00E-48,6,97,18,12
seq1631_[chr1:33875943-33876113],5.936885503,0.430297276,0.592715587,6,86,18,12
seq1632_[chr1:36620623-36620793],2.96438437,0.813303522,0.884704199,6,97,18,12
seq1633_[chr1:38096126-38096296],7.112663634,0.310553764,0.472097203,6,99,18,12
seq1634_[chr1:43761250-43761420],2.399719438,0.879517519,0.925369143,6,78,18,12
seq1635_[chr1:46945613-46945783],9.241588677,0.160440217,0.299674497,6,98,18,12
seq1636_[chr1:46985783-46985953],25.74555778,0.000248297,0.001333593,6,98,18,12
seq1637_[chr1:53037550-53037720],7.588413191,0.269833695,0.43028187,6,79,18,12
seq1638_[chr1:56654663-56654833],2.780796383,0.835813355,0.898187486,6,81,18,12
seq1639_[chr1:56890737-56890907],4.210051806,0.648274441,0.77330897,6,75,18,12
seq164_[chr1:239977717-239977887],16.90814043,0.009626837,0.031544765,6,87,18,12
seq1640_[chr1:56902659-56902829],10.08784706,0.121001004,0.244758296,6,99,18,12
seq1641_[chr1:56960067-56960237],2.906512566,0.820485753,0.888987835,6,86,18,12
seq1642_[chr1:64984556-64984726],7.850611009,0.249253548,0.409356257,6,77,18,12
seq1643_[chr1:68682868-68683038],6.516983849,0.367830564,0.5334244,6,86,18,12
seq1644_[chr1:79997567-79997737],6.598694511,0.359557573,0.526403882,6,90,18,12
seq1645_[chr1:83086738-83086908],9.563837616,0.144262501,0.277483972,6,79,18,12
seq1646_[chr1:95057998-95058168],2.436933315,0.875457987,0.921826117,6,75,18,12
seq1647_[chr1:96725027-96725197],5.254229502,0.511644058,0.661018318,6,86,18,12
seq1648_[chr1:101200853-101201023],5.174712542,0.521608327,0.670315766,6,67,18,12
seq1649_[chr1:114592732-114592902],2.737705464,0.840973683,0.902277041,6,81,18,12
seq165_[chr1:243378832-243379002],19.29093975,0.003699481,0.014059083,6,73,18,12
seq1650_[chr1:181644961-181645131],9.900032667,0.128925479,0.254790413,6,32,18,12
seq1651_[chr1:201605412-201605582],5.502903797,0.481105811,0.634392902,6,89,18,12
seq1652_[chr1:204957343-204957513],2.48762824,0.869849685,0.919619473,6,74,18,12
seq1653_[chr1:204972716-204972886],17.44044007,0.007793834,0.026415743,6,78,18,12
seq1654_[chr1:210901232-210901402],12.55144281,0.050738608,0.124234973,6,81,18,12
seq1655_[chr1:214378592-214378762],8.65455566,0.193957811,0.343598116,6,87,18,12
seq1656_[chr1:242099732-242099902],5.104532516,0.530477752,0.678766923,6,85,18,12
seq1657_[chr10:3826127-3826297],1.624876642,0.950772313,0.968587932,6,77,18,12
seq1658_[chr10:17430253-17430423],10.06701845,0.121857951,0.245931501,6,74,18,12
seq1659_[chr10:47006150-47006320],14.54693606,0.024088898,0.068854962,6,97,18,12
seq166_[chr1:244517144-244517314],5.46449321,0.48575853,0.639042332,6,96,18,12
seq1660_[chr10:49482892-49483062],8.257000468,0.219872987,0.375411077,6,84,18,12
seq1661_[chr10:54212381-54212551],5.369973765,0.497309294,0.648791361,6,78,18,12
seq1662_[chr10:68582559-68582729],5.831125596,0.442371109,0.602801347,6,78,18,12
seq1663_[chr10:71801675-71801845],3.228253208,0.779701427,0.864388099,6,78,18,12
seq1664_[chr10:73288324-73288494],30.35528242,3.36E-05,0.000218064,6,98,18,12
seq1665_[chr10:73368865-73369035],21.78640223,0.00132364,0.005828392,6,99,18,12
seq1666_[chr10:77177449-77177619],1.212272999,0.976274172,0.985149392,6,82,18,12
seq1667_[chr10:77189905-77190075],4.427005635,0.619095322,0.748817157,6,99,18,12
seq1668_[chr10:78874277-78874447],10.33941549,0.11106713,0.231520215,6,84,18,12
seq1669_[chr10:99097105-99097275],6.189385598,0.402313033,0.567684911,6,88,18,12
seq167_[chr1:244525111-244525281],35.55563754,3.36E-06,2.78E-05,6,78,18,12
seq1670_[chr10:101026508-101026678],7.24613251,0.298683704,0.459672668,6,80,18,12
seq1671_[chr10:102500719-102500889],8.368129462,0.212354412,0.366588934,6,99,18,12
seq1672_[chr10:102576600-102576770],4.559695925,0.601389729,0.734235673,6,63,18,12
seq1673_[chr10:104093976-104094146],2.460546393,0.872856758,0.92093812,6,80,18,12
seq1674_[chr10:104409217-104409387],29.49442599,4.90E-05,0.000310273,6,99,18,12
seq1675_[chr10:105564785-105564955],5.763419187,0.450207075,0.610742983,6,91,18,12
seq1676_[chr10:113236446-113236616],2.683569052,0.847384206,0.906963248,6,83,18,12
seq1677_[chr10:123069819-123069989],6.255344282,0.395202666,0.561204638,6,86,18,12
seq1678_[chr10:123099805-123099975],13.78778503,0.032098676,0.087078281,6,98,18,12
seq1679_[chr10:123443432-123443602],7.111467968,0.310661687,0.472097203,6,99,18,12
seq168_[chr1:244978973-244979143],91.02968631,1.85E-17,5.08E-16,6,71,18,12
seq1680_[chr10:125242722-125242892],5.90151924,0.434312007,0.596395457,6,75,18,12
seq1681_[chr10:125929595-125929765],8.976551282,0.174901111,0.320011374,6,98,18,12
seq1682_[chr11:2742492-2742662],27.37221979,0.000123308,0.000723551,6,99,18,12
seq1683_[chr11:6325011-6325181],48.83785083,8.03E-09,9.27E-08,6,90,18,12
seq1684_[chr11:9168340-9168510],9.501378664,0.147281917,0.281462717,6,84,18,12
seq1685_[chr11:10339067-10339237],10.98137303,0.08895383,0.194240167,6,96,18,12
seq1686_[chr11:13034012-13034182],16.62006887,0.010785799,0.034912962,6,87,18,12
seq1687_[chr11:13119681-13119851],16.58799631,0.010922863,0.035313721,6,95,18,12
